"
Bologna
","
Atalanta
"
Starting XI
83,A. Mirante,[],57,M. Sportiello,[]
25,A. Masina,"[('yellow-card', ""81'"")]",5,A. Masiello,[]
28,D. Gastaldello,"[('yellow-card', ""36'"")]",24,A. Conti,[]
20,D. Maietta,"[('yellow-card', ""74'"")]",13,M. Caldara,[]
35,V. Torosidis,"[('yellow-card', ""89'"")]",6,E. Zukanović,[]
8,S. Taïder,[],27,J. Kurtič,[]
22,L. Rizzo,"[('sub-out', ""46'"")]",4,R. Gagliardini,"[('yellow-card', ""20'""), ('sub-out', ""86'"")]"
6,F. Viviani,"[('yellow-card', ""61'""), ('sub-out', ""72'"")]",10,A. Gómez,"[('sub-out', ""82'"")]"
31,B. Džemaili,[],37,L. Spinazzola,[]
10,M. Destro,[],19,F. Kessié,"[('yellow-card', ""33'"")]"
11,L. Krejčí,"[('sub-out', ""83'"")]",29,A. Petagna,"[('sub-out', ""90'+"")]"
