"
Barcelona
","
Las Palmas
"
Starting XI
1,M. ter Stegen,[],13,Javi Varas,[]
14,J. Mascherano,"[('yellow-card', ""29'"")]",22,Hélder Lopes,"[('yellow-card', ""41'"")]"
23,S. Umtiti,[],12,Míchel,[]
18,Jordi Alba,[],5,David García,"[('sub-out', ""34'"")]"
7,A. Turan,[],3,M. Lemos,[]
5,Busquets,"[('sub-out', ""73'"")]",15,Roque Mesa,"[('yellow-card', ""2'"")]"
21,André Gomes,"[('yellow-card', ""32'""), ('sub-out', ""62'"")]",4,Vicente Gómez,"[('sub-out', ""62'"")]"
12,Rafinha,"[('yellow-card', ""25'"")]",21,Jonathan Viera,[]
22,Aleix Vidal,[],7,K. Boateng,"[('yellow-card', ""55'"")]"
9,L. Suárez,"[('sub-out', ""68'"")]",8,N. El Zhar,"[('sub-out', ""74'"")]"
10,L. Messi,[],24,Tana,[]
