"
Darmstadt 98
","
Bayer Leverkusen
"
Starting XI
31,M. Esser,[],1,B. Leno,[]
4,A. Sulu,[],21,Ö. Toprak,"[('yellow-card', ""39'"")]"
7,A. Fedetskiy,[],16,T. Jedvaj,"[('yellow-card', ""36'"")]"
32,F. Holland,[],18,Wendell,[]
26,P. Banggaard,[],13,R. Hilbert,[]
6,M. Vrančić,"[('sub-out', ""55'"")]",15,J. Baumgartlinger,[]
8,J. Gondorf,[],29,K. Havertz,[]
33,S. Sam,"[('sub-out', ""27'"")]",44,K. Kampl,[]
20,M. Heller,[],38,K. Bellarabi,"[('sub-out', ""75'"")]"
34,Hamit Altıntop,[],31,K. Volland,"[('sub-out', ""90'+"")]"
15,T. Boyd,"[('sub-out', ""65'"")]",19,J. Brandt,"[('sub-out', ""89'"")]"
