"
Feyenoord
","
Vitesse
"
Starting XI
25,B. Jones,[],1,E. Room,[]
18,M. Nelom,"[('yellow-card', ""51'"")]",3,M. van der Werff,[]
33,Eric Botteghin,[],37,G. Kashia,[]
4,T. Kongolo,[],5,K. Leerdam,[]
2,R. Karsdorp,[],8,K. Ota,[]
8,K. El Ahmadi,"[('yellow-card', ""63'"")]",10,A. Tighadouini,[]
10,T. Vilhena,[],18,M. Nakamba,[]
11,E. Elia,"[('sub-out', ""60'"")]",34,L. Baker,[]
19,S. Berghuis,[],25,N. Foor,"[('sub-out', ""83'"")]"
9,N. Jørgensen,[],13,R. van Wolfswinkel,"[('sub-out', ""74'""), ('yellow-card', ""74'"")]"
7,D. Kuijt,"[('sub-out', ""83'"")]",7,M. Rashica,"[('sub-out', ""67'"")]"
