"
Angers SCO
","
Saint-Étienne
"
Starting XI
16,M. Michel,[],16,S. Ruffier,[]
29,V. Manceau,"[('yellow-card', ""24'""), ('sub-out', ""61'"")]",12,C. M'Bengue,[]
4,M. Pavlović,[],25,K. Malcuit,"[('yellow-card', ""47'""), ('red-card', ""90'+"")]"
3,Y. Andreu,[],4,L. Lacroix,"[('yellow-card', ""45'"")]"
8,I. Traoré,[],19,F. Pogba,[]
23,J. Saihi,"[('sub-out', ""80'"")]",33,A. Nordin,"[('sub-out', ""81'"")]"
15,P. Capelle,"[('yellow-card', ""74'"")]",7,B. Dabo,"[('yellow-card', ""11'""), ('sub-out', ""66'"")]"
5,T. Mangani,[],5,V. Pajot,[]
18,B. Santamaria,[],10,O. Tannane,[]
19,N. Pepe,[],11,H. Saivet,"[('sub-out', ""84'"")]"
9,F. Diedhiou,"[('sub-out', ""69'"")]",9,N. Roux,[]
