"
Rennes
","
Olympique Lyonnais
"
Starting XI
1,B. Costil,[],1,Anthony Lopes,[]
15,R. Bensebaini,"[('red-card', ""5'"")]",5,M. Diakhaby,[]
4,Mexer,[],2,M. Yanga-Mbiwa,"[('yellow-card', ""90'+"")]"
32,J. Gnagnon,[],15,J. Morel,[]
29,R. Danzé,"[('yellow-card', ""60'"")]",20,Rafael,[]
18,M. Amalfitano,"[('sub-out', ""44'"")]",8,C. Tolisso,[]
8,C. Chantôme,"[('sub-out', ""59'"")]",29,L. Tousart,[]
26,S. Prcić,[],28,M. Valbuena,"[('sub-out', ""70'"")]"
28,Y. Gourcuff,[],14,Sergi Darder,"[('sub-out', ""79'"")]"
21,B. André,[],10,A. Lacazette,[]
13,G. Sio,"[('sub-out', ""78'"")]",27,M. Cornet,[]
