"
Espanyol","
Sevilla
"
Starting XI
13,Diego López,[],1,Sergio Rico,[]
31,Marc Navarro,[],18,Sergio Escudero,"[('yellow-card', ""76'"")]"
29,Aaron Martín,"[('yellow-card', ""32'"")]",3,Mariano,[]
23,D. Reyes,[],23,A. Rami,[]
18,Javi Fuego,[],21,N. Pareja,"[('red-card', ""2'"")]"
14,José Jurado,[],10,S. Nasri,[]
15,David López,[],15,S. N'Zonzi,[]
9,José Antonio Reyes,"[('sub-out', ""83'"")]",17,Pablo Sarabia,"[('yellow-card', ""81'"")]"
7,Gerard Moreno,"[('yellow-card', ""81'"")]",12,W. Ben Yedder,"[('sub-out', ""7'"")]"
19,P. Piatti,"[('sub-out', ""74'"")]",16,S. Jovetić,"[('sub-out', ""70'"")]"
17,H. Pérez,"[('sub-out', ""64'"")]",22,F. Vázquez,"[('sub-out', ""59'"")]"
