"
Toluca
","
Atlas
"
Starting XI
1,A. Talavera,[],1,O. Ustari,[]
29,Rodrigo Salinas,[],5,G. Aguirre,[]
4,P. Da Silva,[],4,R. Márquez,[]
5,O. González,"[('yellow-card', ""34'"")]",18,L. Robles,"[('red-card', ""27'"")]"
2,E. Velarde,[],13,J. Salas,[]
25,J. Méndez,"[('yellow-card', ""74'"")]",14,R. Reyes,[]
15,A. Ríos,"[('sub-out', ""46'"")]",11,M. Alustiza,"[('sub-out', ""46'"")]"
24,P. Barrientos,"[('sub-out', ""79'"")]",28,M. Barragán,"[('sub-out', ""60'"")]"
7,Gabriel Hauche,"[('yellow-card', ""63'""), ('sub-out', ""68'"")]",15,B. Garnica,"[('sub-out', ""63'"")]"
20,F. Uribe,[],8,D. Álvarez,[]
26,E. Trejo,[],27,J. Madueña,"[('yellow-card', ""21'"")]"
