"
PSV
","
Borussia Dortmund
"
Starting XI
1,J. Zoet,"[('sub-out', ""72'"")]",1,R. Weidenfeller,"[('sub-out', ""46'"")]"
5,D. Schwaab,[],26,Ł. Piszczek,"[('sub-out', ""46'"")]"
15,J. Willems,[],28,M. Ginter,"[('sub-out', ""46'"")]"
2,N. Isimat-Mirin,[],29,M. Schmelzer,"[('sub-out', ""46'"")]"
4,S. Arias,[],7,O. Dembélé,"[('sub-out', ""46'"")]"
25,O. Zinchenko,[],33,J. Weigl,"[('sub-out', ""46'"")]"
6,D. Pröpper,[],6,S. Bender,"[('sub-out', ""46'"")]"
23,B. Ramselaar,[],27,G. Castro,"[('sub-out', ""46'"")]"
18,A. Guardado,"[('sub-out', ""72'"")]",23,S. Kagawa,"[('sub-out', ""46'"")]"
9,L. de Jong,[],20,A. Ramos,"[('sub-out', ""46'"")]"
7,G. Pereiro,"[('sub-out', ""75'"")]",11,M. Reus,"[('sub-out', ""46'"")]"
