"
Toulouse","
Bastia
"
Starting XI
40,A. Lafont,[],16,J. Leca,[]
2,K. Adou,[],3,N. Saint-Ruf,"[('yellow-card', ""36'""), ('sec-yellow-card', ""75'"")]"
5,I. Diop,"[('yellow-card', ""87'"")]",29,G. Cioni,[]
29,F. Moubandje,[],4,A. El Kaoutari,[]
6,C. Jullien,[],12,A. Keita,"[('yellow-card', ""60'"")]"
10,O. Trejo,[],15,P. Oniangué,[]
27,A. Blin,"[('yellow-card', ""59'"")]",25,L. Coulibaly,"[('sub-out', ""83'"")]"
23,Y. Bodiger,"[('yellow-card', ""57'""), ('sub-out', ""64'"")]",19,A. Ngando,"[('sub-out', ""46'"")]"
15,C. Jean,"[('sub-out', ""80'"")]",18,Y. Cahuzac,"[('yellow-card', ""40'""), ('sec-yellow-card', ""61'"")]"
39,A. Delort,"[('sub-out', ""80'"")]",10,A. Saint-Maximin,[]
9,M. Braithwaite,[],27,E. Crivelli,"[('sub-out', ""77'"")]"
