"
Montpellier
","
Nancy
"
Starting XI
1,L. Pionnier,[],16,G. N'Dy Assembé,"[('sub-out', ""85'"")]"
24,J. Roussillon,[],2,C. Lenglet,[]
4,Hilton,[],3,T. Badila,[]
3,D. Congré,[],4,M. Diagne,"[('yellow-card', ""44'"")]"
25,M. Deplagne,[],14,J. Cuffaut,[]
10,R. Boudebouz,[],13,S. N’Guessan,[]
13,E. Skhiri,[],5,A. Diarra,"[('yellow-card', ""90'+"")]"
8,M. Sanson,[],7,A. Robic,[]
7,P. Lasne,"[('yellow-card', ""70'""), ('sub-out', ""71'"")]",11,K. Coulibaly,"[('sub-out', ""71'"")]"
28,S. Sessègnon,"[('red-card', ""82'"")]",6,Y. Ait Bennasser,[]
15,S. Mounié,[],12,C. Mandanne,"[('sub-out', ""64'"")]"
