"
Roma
","
Cagliari
"
Starting XI
1,W. Szczęsny,[],1,Rafael,[]
20,F. Fazio,[],19,F. Pisacane,"[('yellow-card', ""18'""), ('sub-out', ""81'"")]"
13,Bruno Peres,[],29,N. Murru,[]
33,Emerson,[],2,Bruno Alves,[]
2,A. Rüdiger,[],23,L. Ceppitelli,"[('yellow-card', ""82'"")]"
44,K. Manolas,"[('yellow-card', ""87'""), ('sub-out', ""90'+"")]",18,N. Barella,"[('yellow-card', ""89'"")]"
4,R. Nainggolan,"[('sub-out', ""88'"")]",4,D. Dessena,"[('sub-out', ""66'"")]"
8,D. Perotti,"[('sub-out', ""81'"")]",3,M. Isla,[]
16,D. De Rossi,[],77,P. Tachtsidis ,[]
6,K. Strootman,[],17,Diego Farias,"[('sub-out', ""72'"")]"
9,E. Džeko,[],22,M. Borriello,[]
