"
Heracles
","
Heerenveen"
Starting XI
1,B. Castro,[],1,E. Mulder,[]
2,T. Breukers,"[('sub-out', ""75'"")]",4,J. van Aken,[]
3,M. te Wierik,"[('yellow-card', ""4'"")]",16,J. St. Juste,"[('yellow-card', ""19'""), ('sec-yellow-card', ""31'"")]"
27,J. Hoogma,[],5,L. Bijker,[]
14,J. Pelupessy,[],2,S. Marzo,[]
21,R. Gosens,[],21,Y. Kobayashi,[]
29,R. Niemeijer,[],8,M. Thorsby,"[('yellow-card', ""28'"")]"
10,T. Bruns,"[('sub-out', ""64'"")]",11,S. Larsson,"[('sub-out', ""57'"")]"
9,S. Armenteros,[],7,L. Slagveer,[]
17,B. Kuwas,[],9,R. Ghoochannejhad,"[('sub-out', ""36'"")]"
18,K. Peterson,"[('sub-out', ""71'"")]",19,P. van Amersfoort,"[('sub-out', ""75'"")]"
