"
Real Madrid
","
Kashima Antlers
"
Starting XI
1,K. Navas,[],21,H. Sogahata,[]
12,Marcelo,[],3,G. Shōji,[]
4,Sergio Ramos,"[('yellow-card', ""55'""), ('sub-out', ""108'"")]",16,S. Yamamoto,"[('yellow-card', ""58'"")]"
5,R. Varane,[],23,N. Ueda,[]
2,Daniel Carvajal,"[('yellow-card', ""102'"")]",22,D. Nishi,[]
8,T. Kroos,[],8,S. Doi,"[('sub-out', ""88'"")]"
19,L. Modrić,"[('sub-out', ""105'"")]",40,M. Ogasawara,"[('sub-out', ""68'"")]"
14,Casemiro,"[('yellow-card', ""100'"")]",6,R. Nagaki,"[('sub-out', ""114'"")]"
9,K. Benzema,[],10,G. Shibasaki,[]
17,Lucas Vázquez,"[('sub-out', ""81'"")]",25,Y. Endo,"[('sub-out', ""103'"")]"
7,Cristiano Ronaldo,"[('sub-out', ""112'"")]",33,M. Kanazaki,[]
