"
Fiorentina
","
Genoa
"
Starting XI
57,M. Sportiello,[],23,E. Lamanna,[]
13,D. Astori,"[('yellow-card', ""89'"")]",8,N. Burdisso,"[('yellow-card', ""37'"")]"
4,S. De Maio,[],21,L. Orbán,[]
15,M. Olivera,"[('yellow-card', ""84'"")]",24,E. Muñoz,[]
5,M. Badelj,"[('yellow-card', ""54'""), ('sub-out', ""60'"")]",5,A. Izzo,[]
72,J. Iličić,"[('sub-out', ""71'"")]",22,D. Lazović,[]
8,M. Vecino,[],4,I. Cofie,"[('yellow-card', ""27'""), ('sub-out', ""32'"")]"
6,C. Sánchez,[],15,O. Hiljemark,"[('sub-out', ""79'"")]"
20,Borja Valero,[],93,D. Laxalt,"[('yellow-card', ""66'"")]"
25,F. Chiesa,"[('sub-out', ""87'"")]",51,M. Pinilla,"[('sub-out', ""52'"")]"
9,N. Kalinić,[],9,G. Simeone,"[('yellow-card', ""45'"")]"
