90' + 4',assist,Assist Alexander Sørloth.
90' + 4',goal,Goal Brian Linssen.
86',yellow-card,Yellow Card Juninho Bacuna.
82',substitution,Substitution sub-out Mike Havenaar sub-in Guyon Fernandez .
79',yellow-card,Yellow Card Mike Havenaar.
76',substitution,Substitution sub-out Abdenasser El Khayati sub-in Donny Gorter .
75',substitution,Substitution sub-out Etienne Reijnen sub-in Yoell van Nieff .
73',yellow-card,Yellow Card W. Kanon.
67',substitution,Substitution sub-out Sheraldo Becker sub-in Randy Wolters .
65',substitution,Substitution sub-out Jesper Drost sub-in Alexander Sørloth .
64',goal,Goal Brian Linssen.
52',penalty-goal,Penalty Goal Mimoun Mahi.
47',assist,Assist Aaron Meijers.
47',goal,Goal Dion Malone.
23',assist,Assist Sheraldo Becker.
23',goal,Goal Mike Havenaar.
21',goal,Goal Dion Malone.
13',assist,Assist Aaron Meijers.
13',goal,Goal Danny Bakker.
