"
Cardiff City
","
Fulham
"
Starting XI
28,B. Murphy,[],1,M. Bettinelli,[]
3,J. Bennett,[],13,T. Ream,[]
6,J. Richards,[],30,R. Sessegnon,"[('sub-out', ""90'+"")]"
14,S. Bamba,[],4,D. Odoi,[]
15,G. Halford,"[('sub-out', ""69'"")]",17,R. Sigurðsson,[]
4,S. Morrison,[],10,T. Cairney,[]
24,K. Harris,"[('sub-out', ""80'"")]",24,S. Aluko,"[('sub-out', ""85'"")]"
25,E. Huws,[],2,R. Fredericks,[]
8,J. Ralls,[],6,K. McDonald,[]
13,A. Pilkington,[],14,S. Johansen,"[('sub-out', ""81'"")]"
19,R. Lambert,"[('sub-out', ""69'"")]",20,Lucas Piazon,[]
