"
Real Salt Lake
","
Toronto"
Starting XI
18,N. Rimando,"[('yellow-card', ""29'"")]",1,C. Irwin,[]
2,T. Beltran,[],2,J. Morrow,[]
16,C. Wingert,[],3,D. Moor,[]
28,C. Schuler,"[('yellow-card', ""23'"")]",15,E. Zavaleta,[]
4,D. Horst,[],33,S. Beitashour,"[('yellow-card', ""53'"")]"
11,A. Rusnák,[],6,N. Hagglund,"[('yellow-card', ""45'"")]"
5,K. Beckerman,[],21,J. Osorio,"[('sub-out', ""61'"")]"
70,J. Allen,"[('sub-out', ""87'"")]",4,M. Bradley,[]
8,S. Sunday,"[('yellow-card', ""72'""), ('sub-out', ""78'"")]",31,A. Cooper,"[('sub-out', ""80'"")]"
14,Y. Movsisyan,"[('sub-out', ""69'"")]",17,J. Altidore,"[('yellow-card', ""90'+"")]"
10,J. Plata,[],10,S. Giovinco,"[('yellow-card', ""82'"")]"
