"
RB Leipzig","
Hoffenheim
"
Starting XI
32,P. Gulácsi,[],1,O. Baumann,[]
4,W. Orban,[],21,B. Hübner,"[('yellow-card', ""90'"")]"
23,M. Halstenberg,[],25,N. Süle,[]
33,M. Compper,"[('yellow-card', ""85'"")]",3,P. Kadeřábek,[]
8,N. Keïta,"[('sub-out', ""90'+"")]",17,S. Zuber,[]
13,S. Ilsanker,[],13,K. Demirbay,[]
3,Bernardo,[],6,S. Rudy,[]
7,M. Sabitzer,[],22,K. Vogt,"[('sub-out', ""46'"")]"
31,D. Demme,[],18,N. Amiri,"[('yellow-card', ""25'""), ('sub-out', ""76'"")]"
9,Y. Poulsen,"[('yellow-card', ""35'""), ('sub-out', ""73'"")]",27,A. Kramarić,"[('sub-out', ""63'"")]"
11,T. Werner,"[('sub-out', ""90'+"")]",14,S. Wagner,"[('red-card', ""60'"")]"
