"
Guingamp
","
Rennes
"
Starting XI
1,K. Johnsson,[],1,B. Costil,[]
15,J. Sorbon,[],32,J. Gnagnon,[]
29,C. Kerbrat,[],24,L. Baal,[]
22,J. Martins-Pereira,[],4,Mexer,"[('yellow-card', ""66'"")]"
3,Fernando Marçal,"[('yellow-card', ""58'"")]",29,R. Danzé,[]
17,E. Didot,[],26,S. Prcić,"[('yellow-card', ""4'""), ('sec-yellow-card', ""45'+"")]"
5,M. Diallo,"[('yellow-card', ""8'""), ('sub-out', ""46'"")]",6,G. Fernandes,[]
24,M. Coco,"[('sub-out', ""83'"")]",28,Y. Gourcuff,[]
8,L. Deaux,[],10,K. Grosicki,[]
23,J. Briand,[],31,A. Diakhaby,"[('sub-out', ""62'"")]"
19,Y. Salibur,"[('sub-out', ""77'"")]",14,A. Kalulu,"[('yellow-card', ""14'""), ('sub-out', ""75'"")]"
