"
Querétaro
","
Guadalajara
"
Starting XI
1,Tiago Volpi,[],30,R. Cota,[]
3,M. Martínez,[],4,J. Pereira,[]
27,H. Mier,[],2,O. Alanís,[]
14,L. Noriega,[],6,Edwin Hernández,[]
19,Y. Candelo,[],7,O. Pineda,"[('sub-out', ""64'"")]"
28,J. Gómez,[],23,J. Vázquez,[]
12,J. Bornstein,[],10,E. López,[]
21,M. Jiménez,"[('yellow-card', ""8'""), ('sub-out', ""31'"")]",20,R. Pizarro,"[('yellow-card', ""78'""), ('sub-out', ""82'"")]"
7,Camilo Sanvezzo,[],9,A. Pulido,"[('yellow-card', ""73'"")]"
15,A. Sepúlveda,[],17,J. Sánchez,"[('yellow-card', ""29'"")]"
30,E. Villa,"[('sub-out', ""60'"")]",14,Á. Zaldívar,"[('sub-out', ""74'"")]"
