"
Feyenoord","
Sparta Rotterdam
"
Starting XI
25,B. Jones,[],1,R. Kortsmit,[]
6,J. van der Heijden,"[('yellow-card', ""37'"")]",6,B. Vriends,"[('yellow-card', ""40'""), ('sub-out', ""60'"")]"
18,M. Nelom,[],3,R. van Drongelen,[]
2,R. Karsdorp,[],5,M. Breuer,[]
33,Eric Botteghin,[],2,D. Dumfries,[]
8,K. El Ahmadi,[],8,M. Dijkstra,"[('yellow-card', ""1'"")]"
28,J. Toornstra,"[('sub-out', ""69'"")]",4,K. Dougall,[]
10,T. Vilhena,[],10,S. Spierings,[]
11,E. Elia,[],9,Z. El Azzouzi,"[('sub-out', ""61'"")]"
9,N. Jørgensen,"[('sub-out', ""76'"")]",7,L. Brogno,[]
7,D. Kuijt,"[('sub-out', ""65'"")]",11,C. Goodwin,"[('sub-out', ""79'"")]"
