"
Angers SCO
","
Monaco
"
Starting XI
30,A. Letellier,[],1,D. Subašić,[]
24,R. Thomas,[],38,A. Touré,[]
29,V. Manceau,[],5,Jemerson,[]
8,I. Traoré,[],2,Fabinho,[]
18,B. Santamaria,"[('sub-out', ""81'"")]",23,B. Mendy,[]
5,T. Mangani,"[('yellow-card', ""77'"")]",25,K. Glik,[]
15,P. Capelle,[],10,Bernardo Silva,"[('sub-out', ""65'"")]"
17,C. N'Doye,"[('yellow-card', ""84'"")]",7,N. Dirar,"[('yellow-card', ""77'""), ('sub-out', ""90'"")]"
9,F. Diedhiou,[],14,T. Bakayoko,[]
2,K. Bérigaud,"[('sub-out', ""64'"")]",18,V. Germain,[]
7,K. Toko Ekambi,"[('sub-out', ""62'"")]",9,R. Falcao,"[('sub-out', ""83'"")]"
