"
Freiburg","
Darmstadt 98
"
Starting XI
1,A. Schwolow,[],31,M. Esser,"[('yellow-card', ""85'"")]"
30,C. Günter,[],17,S. Sirigu,[]
17,L. Kübler,"[('sub-out', ""46'"")]",7,A. Fedetskiy,[]
15,P. Stenzel,"[('yellow-card', ""38'"")]",4,A. Sulu,[]
5,M. Gulde,[],32,F. Holland,"[('sub-out', ""88'"")]"
4,C. Söyüncü,[],10,J. Rosenthal,"[('sub-out', ""72'"")]"
19,J. Haberer,"[('sub-out', ""63'"")]",20,M. Heller,[]
32,V. Grifo,[],18,P. Niemeyer,[]
23,J. Schuster,"[('yellow-card', ""10'"")]",8,J. Gondorf,"[('yellow-card', ""84'"")]"
8,M. Frantz,[],6,M. Vrančić,"[('yellow-card', ""23'"")]"
7,F. Niederlechner,"[('sub-out', ""90'"")]",39,S. Schipplock,"[('yellow-card', ""42'""), ('sub-out', ""81'"")]"
