"
Crystal Palace
","
Chelsea
"
Starting XI
13,W. Hennessey,[],13,T. Courtois,[]
27,D. Delaney,"[('yellow-card', ""82'"")]",3,Marcos Alonso,[]
6,S. Dann,[],24,G. Cahill,[]
34,M. Kelly,"[('sub-out', ""84'"")]",30,David Luiz,[]
2,J. Ward,"[('yellow-card', ""17'"")]",28,Azpilicueta,[]
18,J. McArthur,[],7,N. Kanté,"[('yellow-card', ""60'"")]"
42,J. Puncheon,"[('sub-out', ""77'"")]",10,E. Hazard,[]
7,Y. Cabaye,"[('sub-out', ""79'"")]",21,N. Matić,[]
16,J. Ledley,[],15,V. Moses,"[('sub-out', ""79'"")]"
11,W. Zaha,[],22,Willian,"[('sub-out', ""64'"")]"
17,C. Benteke,[],19,Diego Costa,"[('yellow-card', ""22'""), ('sub-out', ""89'"")]"
