"
Utrecht","
Ajax"
Starting XI
16,D. Jensen,[],24,A. Onana,[]
3,R. Leeuwin,"[('sub-out', ""64'"")]",5,D. Sánchez,"[('sub-out', ""74'"")]"
15,Robin van der Meer,[],3,J. Veltman,[]
2,M. van der Maarel,[],26,N. Viergever,[]
8,W. Janssen,"[('yellow-card', ""73'"")]",10,D. Klaassen,[]
25,S. Amrabat,[],22,H. Ziyech,"[('yellow-card', ""49'""), ('sub-out', ""90'"")]"
23,W. Brama,[],8,D. Sinkgraven,[]
6,Y. Ayoub,[],20,L. Schöne,"[('yellow-card', ""79'"")]"
22,S. Haller,[],25,K. Dolberg,[]
10,N. Barazite,"[('sub-out', ""86'"")]",11,A. Younes,[]
9,R. Zivkovic,"[('sub-out', ""76'"")]",7,A. El Ghazi,"[('sub-out', ""73'"")]"
