"
Arsenal","
Burnley
"
Starting XI
33,P. Čech,[],1,T. Heaton,[]
5,Gabriel Paulista,[],2,M. Lowton,"[('yellow-card', ""58'"")]"
6,L. Koscielny,[],23,S. Ward,[]
20,S. Mustafi,"[('yellow-card', ""90'+"")]",5,M. Keane,[]
18,Nacho Monreal,[],6,B. Mee,[]
8,A. Ramsey,[],8,D. Marney,"[('yellow-card', ""74'""), ('sub-out', ""76'"")]"
11,M. Özil,"[('sub-out', ""89'"")]",16,S. Defour,"[('sub-out', ""77'"")]"
29,G. Xhaka,"[('red-card', ""65'"")]",13,J. Hendrick,"[('sub-out', ""73'"")]"
17,A. Iwobi,"[('sub-out', ""69'"")]",21,G. Boyd,[]
12,O. Giroud,"[('sub-out', ""87'"")]",7,A. Gray,[]
7,A. Sánchez,[],10,A. Barnes,"[('yellow-card', ""90'+"")]"
