"
Roda JC","
PSV"
Starting XI
1,B. van Leer,[],1,J. Zoet,[]
2,M. Milec,[],5,D. Schwaab,[]
5,A. van Peppen,[],4,S. Arias,[]
20,D. Werker,"[('yellow-card', ""66'"")]",2,N. Isimat-Mirin,[]
3,C. Kum,[],3,H. Moreno,[]
8,A. Auassar,[],10,S. de Jong,[]
16,Marcos Gullón,"[('sub-out', ""77'"")]",25,O. Zinchenko,"[('sub-out', ""64'"")]"
14,A. Ajagun,[],23,B. Ramselaar,[]
21,D. Boysen,[],6,D. Pröpper,[]
17,M. Rosheuvel,"[('sub-out', ""90'+"")]",7,G. Pereiro,"[('sub-out', ""64'"")]"
11,N. Mytides,"[('sub-out', ""89'"")]",9,L. de Jong,[]
