"
Fulham
","
Hull City
"
Starting XI
1,M. Bettinelli,[],16,E. Jakupovic,[]
30,R. Sessegnon,[],6,C. Davies,"[('sub-out', ""10'"")]"
13,T. Ream,[],3,A. Robertson,[]
26,T. Kalas,"[('yellow-card', ""86'"")]",14,O. Elabdellaoui,[]
4,D. Odoi,[],7,D. Meyler,"[('sub-out', ""62'"")]"
10,T. Cairney,"[('sub-out', ""88'"")]",50,L. Marković,[]
24,S. Aluko,"[('sub-out', ""80'"")]",8,T. Huddlestone,[]
14,S. Johansen,"[('yellow-card', ""73'"")]",40,Evandro,"[('sub-out', ""74'"")]"
6,K. McDonald,"[('yellow-card', ""36'"")]",11,S. Clucas,"[('yellow-card', ""90'+"")]"
25,C. Martin,"[('sub-out', ""83'"")]",9,A. Hernández,[]
20,Lucas Piazon,[],20,A. Diomande,[]
