"
PSV","
Heerenveen
"
Starting XI
1,J. Zoet,[],1,E. Mulder,[]
4,S. Arias,[],5,L. Bijker,[]
15,J. Willems,"[('sub-out', ""76'"")]",2,S. Marzo,[]
3,H. Moreno,"[('yellow-card', ""35'"")]",16,J. St. Juste,"[('yellow-card', ""44'""), ('sub-out', ""82'"")]"
5,D. Schwaab,[],12,D. Schmidt,[]
6,D. Pröpper,[],8,M. Thorsby,[]
18,A. Guardado,"[('yellow-card', ""20'"")]",21,Y. Kobayashi,[]
23,B. Ramselaar,"[('sub-out', ""82'"")]",11,S. Larsson,[]
28,M. van Ginkel,"[('yellow-card', ""90'+"")]",9,R. Ghoochannejhad,[]
7,G. Pereiro,"[('sub-out', ""77'"")]",19,P. van Amersfoort,"[('sub-out', ""58'"")]"
9,L. de Jong,[],13,A. Zeneli,"[('sub-out', ""78'"")]"
