"
Caen","
Angers SCO
"
Starting XI
1,R. Vercoutre,[],16,M. Michel,[]
28,D. Da Silva,[],25,A. Bamba,"[('sub-out', ""46'"")]"
24,F. Guilbert,"[('yellow-card', ""35'"")]",8,I. Traoré,[]
5,A. Yahia,[],6,G. Bourillon,[]
2,N. Seube,"[('sub-out', ""46'"")]",24,R. Thomas,[]
25,J. Féret,[],28,I. Cissokho,[]
11,V. Bessat,[],5,T. Mangani,[]
18,J. Adéoti,[],17,C. N'Doye,"[('yellow-card', ""73'"")]"
6,J. Delaplace,"[('sub-out', ""51'"")]",20,F. Tait,"[('sub-out', ""61'"")]"
26,I. Santini,[],7,K. Toko Ekambi,[]
12,R. Rodelin,[],9,F. Diedhiou,"[('sub-out', ""74'"")]"
