"
Bordeaux
","
Metz
"
Starting XI
16,C. Carrasso,[],1,T. Didillon,[]
5,N. Pallois,[],32,B. Assou-Ekotto,"[('red-card', ""90'+"")]"
3,D. Contento,[],25,Iván,[]
6,I. Lewczuk,[],6,S. Falette,[]
20,Y. Sabaly,[],2,F. Diagne,[]
14,J. Toulalan,"[('yellow-card', ""11'"")]",10,C. Doukouré,[]
23,V. Vada,"[('sub-out', ""80'"")]",8,Y. Jouffre,"[('sub-out', ""72'"")]"
13,Y. Sankhare,"[('yellow-card', ""7'"")]",14,G. Mandjeck,[]
11,F. Kamano,"[('sub-out', ""75'"")]",24,R. Cohade,"[('yellow-card', ""31'""), ('sub-out', ""58'"")]"
25,Malcom,[],11,O. N'Guette,"[('sub-out', ""87'"")]"
24,G. Laborde,"[('sub-out', ""84'"")]",18,C. Diabaté,[]
