"
León
","
América
"
Starting XI
25,W. Yarbrough,[],1,A. Marchesín,[]
3,G. Burdisso,[],12,Pablo Aguilar,"[('yellow-card', ""23'"")]"
24,O. Rodríguez,"[('yellow-card', ""89'"")]",6,M. Samudio,[]
6,D. Novaretti,[],2,P. Goltz,[]
35,Juan González,[],18,B. Valdez,[]
15,C. Guzmán,[],11,M. Arroyo,[]
8,Elías Hernández,"[('sub-out', ""82'"")]",7,William da Silva,[]
11,A. Andrade,"[('yellow-card', ""14'""), ('sub-out', ""73'"")]",30,R. Ibarra,"[('sub-out', ""19'"")]"
20,L. López,[],21,J. Guerrero,"[('sub-out', ""46'"")]"
14,J. Pereyra Díaz,"[('red-card', ""20'"")]",9,S. Romero,"[('yellow-card', ""32'""), ('sub-out', ""81'"")]"
17,M. Boselli,"[('sub-out', ""78'"")]",24,O. Peralta,[]
