"
Ingolstadt
","
Bayern München
"
Starting XI
35,M. Hansen,[],1,M. Neuer,[]
34,M. Matip,[],21,P. Lahm,"[('sub-out', ""80'"")]"
18,R. Brégerie,"[('yellow-card', ""73'"")]",27,D. Alaba,[]
32,M. Tisserand,[],5,M. Hummels,[]
33,F. Hadergjonaj,[],14,Xabi Alonso,"[('sub-out', ""65'"")]"
29,M. Suttner,[],6,Thiago Alcântara,[]
10,P. Groß,"[('yellow-card', ""76'""), ('sub-out', ""79'"")]",23,A. Vidal,[]
6,A. Morales,[],32,J. Kimmich,"[('sub-out', ""74'"")]"
36,A. Cohen,[],8,Javi Martínez,[]
11,D. Lezcano,"[('sub-out', ""74'"")]",25,T. Müller,[]
7,M. Leckie,"[('sub-out', ""89'"")]",9,R. Lewandowski,"[('yellow-card', ""73'"")]"
