"
Espanyol
","
Deportivo Alavés
"
Starting XI
13,Diego López,"[('yellow-card', ""90'+"")]",1,Fernando Pacheco,[]
12,Aaron Martín,[],24,Z. Feddal,"[('yellow-card', ""90'+"")]"
23,D. Reyes,[],15,T. Hernández,[]
16,Javi López,"[('yellow-card', ""73'"")]",5,Laguardia,"[('yellow-card', ""90'+"")]"
4,Víctor Sánchez,"[('yellow-card', ""90'+"")]",2,R. Ely,"[('sub-out', ""67'"")]"
15,David López,[],19,Manu García,[]
28,Marc Roca,"[('sub-out', ""85'"")]",21,Kiko Femenía,"[('sub-out', ""67'"")]"
14,José Jurado,[],6,Marcos Llorente,[]
19,P. Piatti,"[('sub-out', ""75'"")]",8,Víctor Camarasa,[]
7,Gerard Moreno,[],17,Edgar Méndez,"[('yellow-card', ""51'""), ('sub-out', ""80'"")]"
10,F. Caicedo,"[('sub-out', ""57'"")]",20,Deyverson,[]
